label,k,p,r1,r2
Tokyo,166065,13515271,34.6,5.0
Osaka,101678,8839469,28.5,4.3
Kanagawa,64024,9126214,29.7,4.0
Aichi,49779,7483128,41.2,4.8
Saitama,44972,7266534,30.4,4.1
Hyogo,40490,5534800,23.4,4.4
Hokkaido,40390,5381733,23.1,4.0
Chiba,38284,6222666,32.9,4.4
Fukuoka,34937,5151560,34.7,4.1
Okinawa,19404,1433566,27.3,7.6
Kyoto,16325,2610353,34.8,6.4
Hiroshima,11193,2843990,27.4,4.3
Ibaraki,10111,2916876,27.2,4.2
Gifu,89075,2031903,42.4,6.0
Miyagi,9023,2333899,28.3,3.3
Shizuoka,8831,3700305,25.7,4.5
Gunma,7976,1973115,33.7,5.5
Nara,7942,1364316,29.7,5.9
Okayama,7544,1921525,46.3,7.1
Tochigi,6663,1974255,24.5,4.1
Kumamoto,6402,1786170,36.3,5.0
Shiga,5398,1412916,35.4,8.7
Mie,5126,1815865,31.2,4.8
Nagano,4930,2098804,32.9,7.2
Fukushima,4701,1914039,39.1,8.1
Ishikawa,3869,1154008,44.6,9.4
Kagoshima,3569,1648177,32.1,7.9
Oita,3467,1166338,34.3,7.2
Nigata,3357,2304264,32.9,6.0
Yamaguchi,3065,1404729,44.4,13.8
Miyazaki,3052,1104069,40.0,9.8
Nagasaki,3051,13777187,29.8,4.1
Ehime,2736,11385262,28.5,4.0
Wakayama,2651,963579,44.4,16.9
Saga,2538,832832,49.4,10.2
Aomori,2447,1308265,31.1,7.7
Kagawa,2062,976263,35.4,8.5
Yamagata,2007,1123891,41.6,9.6
Toyama,1954,1066328,32.8,4.6
Yamanashi,1832,834930,30.8,7.0
Kochi,1652,728276,36.0,6.4
Tokushima,1641,755733,38.2,8.0
Iwate,1580,1279594,28.4,6.9
Fukui,1062,786740,38.8,8.4
Akita,762,1023119,24.5,8.7
Shimane,549,694352,36.8,5.9
Tottori,466,573441,45.4,11.4